,Chromophore,Solvent,Absorption max (nm),log(e/mol-1 dm3 cm-1)
0,c1ccc2ccccc2c1,C1CCCCC1,286.0,3.58
1,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,3.73
2,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294.0,3.75
3,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,3.74
4,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295.0,3.78
5,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,3.76
6,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,3.87
7,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300.0,3.86
8,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302.0,3.91
9,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,3.71
10,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,3.88
11,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311.0,3.82
12,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316.0,4.13
13,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,4.65
14,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,4.77815125
15,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,4.763427994
16,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,4.763427994
17,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,4.755874856
18,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,4.439332694
