Chromophore,Solvent,Absorption max (nm),log(e/mol-1 dm3 cm-1)
c1ccc2ccccc2c1,C1CCCCC1,286,3.58
C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,3.73
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294,3.75
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,3.74
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295,3.78
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,3.76
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300,3.87
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300,3.86
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302,3.91
COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312,3.71
C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315,3.88
C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311,3.82
C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316,4.13
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347,4.65
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489,4.77815125
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506,4.763427994
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508,4.763427994
